galaxy,redshift,pixscale,obs2phys,semimaj,axisrat,mag160,ra,dec
gal00118,2.072,20.0,8.336075094497543,0.24,0.58,24.7841,34.2887636,-5.2187813
gal00119,1.9669999999999999,20.0,8.385552541523312,0.07,0.74,24.3572,34.5402561,-5.218691000000001
gal00120,1.982,20.0,8.378996662426331,0.15,0.46,26.2518,34.3699552,-5.2710322
gal00121,2.2030000000000003,20.0,8.264201370476489,0.14,0.25,25.3726,34.5765603,-5.2185449
gal00123,1.38,20.0,8.4237106332373,0.56,0.72,21.8341,34.460623,-5.2198310999999995
gal00125,1.286,20.0,8.367974841831796,0.21,0.53,24.3739,34.401637799999996,-5.218702700000001
gal00126,1.188,20.0,8.2810545041233,0.26,0.38,26.5126,34.4030617,-5.2185248
gal00130,1.015,20.0,8.036495516914826,0.08,0.18,26.2787,34.5518794,-5.2184558
gal00131,1.2309999999999999,20.0,8.323169537745043,0.35,0.32,22.9034,34.305573700000004,-5.2196887
gal00132,1.2329999999999999,20.0,8.32497188674738,0.24,0.43,23.2157,34.4808351,-5.2189981
gal00133,2.289,20.0,8.212116013712526,0.37,0.44,23.2818,34.4898152,-5.218971
gal00134,1.659,20.0,8.470172751708123,0.14,0.62,26.385,34.440726,-5.2184657
gal00136,1.7209999999999999,20.0,8.462191305541943,0.05,0.09,26.5968,34.335839899999996,-5.270983599999999
gal00137,1.506,20.0,8.463750502102743,0.13,0.66,25.9302,34.2659236,-5.218403400000001
gal00138,1.715,20.0,8.463196398906943,0.21,0.32,25.3613,34.355371399999996,-5.218532499999999
gal00141,1.188,20.0,8.2810545041233,0.1,0.66,24.2651,34.588891600000004,-5.2185095
gal00144,2.158,20.0,8.290001775991984,0.15,0.48,24.677,34.3112852,-5.2185937000000004
gal00146,1.518,20.0,8.465780558002054,0.16,0.51,24.4504,34.384663399999994,-5.2185981
gal00149,1.5330000000000001,20.0,8.467923131078743,0.22,0.42,26.1253,34.3894331,-5.2183262
gal00150,1.696,20.0,8.466058023375679,0.08,0.52,25.8962,34.5114721,-5.2182972
gal00151,1.661,20.0,8.470001309959981,0.33,0.26,24.5209,34.491632700000004,-5.2187225
gal00153,2.991,20.0,7.7101663485900795,0.24,0.78,24.0781,34.3413597,-5.2186651
gal00158,2.43,20.0,8.120220722674759,0.06,0.53,25.5064,34.3860896,-5.2182857
gal00162,1.4140000000000001,20.0,8.43811204715029,0.36,0.61,22.6225,34.4219766,-5.271653400000001
gal00163,1.4409999999999998,20.0,8.447576473961844,0.18,0.29,25.7696,34.4019165,-5.218186
gal00164,1.755,20.0,8.455610222433528,0.02,0.59,25.8415,34.388021,-5.2181966
gal00165,2.017,20.0,8.363011247882907,0.47,0.78,22.6177,34.4565075,-5.2190511
gal00166,1.624,20.0,8.47218560238479,0.3,0.49,22.7915,34.224610399999996,-5.2190809
gal00167,1.347,20.0,8.406921894889834,0.2,0.29,23.7863,34.58797,-5.2185421
gal00169,2.247,20.0,8.237980312239152,0.1,0.96,22.3807,34.4058031,-5.218858099999999
gal00173,1.758,20.0,8.45495922771657,0.29,0.41,25.3364,34.492752,-5.2181233
gal00174,2.029,20.0,8.357317656276166,0.09,0.27,26.4348,34.3044309,-5.2180954
gal00175,1.4880000000000002,20.0,8.460163461606331,0.2,0.27,26.1366,34.4741702,-5.2181114
gal00179,2.215,20.0,8.257143740896494,0.43,0.22,23.2607,34.4187202,-5.2187491999999995
gal00181,1.537,20.0,8.468421809554144,0.13,0.59,25.3363,34.4812609,-5.218105400000001
gal00182,2.609,20.0,7.99500295284586,0.15,0.64,26.2261,34.3844893,-5.2180355
gal00184,1.4269999999999998,20.0,8.442880431050394,0.15,0.79,23.0537,34.361656200000006,-5.2184834
gal00185,2.116,20.0,8.313065522822399,0.29,0.34,25.5696,34.2646485,-5.218017700000001
gal00186,1.686,20.0,8.467363616855076,0.08,0.64,24.6989,34.5421686,-5.218126799999999
gal00187,1.162,20.0,8.252323491392696,0.19,0.41,24.8742,34.4671605,-5.2181242
gal00189,1.308,20.0,8.383260692344086,0.22,0.43,24.5967,34.308680700000004,-5.218203
gal00193,1.768,20.0,8.452709355094125,0.34,0.44,25.6858,34.3545351,-5.2179569
gal00194,1.285,20.0,8.367245470370634,0.12,0.27,26.121,34.5326561,-5.2179500999999995
gal00195,1.611,20.0,8.472442028955388,0.53,0.24,24.5368,34.44503710000001,-5.2184248
gal00196,1.29,20.0,8.370861928360734,0.17,0.7,26.7651,34.2493376,-5.2179169000000005
gal00200,1.426,20.0,8.442527706456126,0.16,0.23,25.5964,34.5652619,-5.2178986
gal00201,1.46,20.0,8.453242260561963,0.51,0.72,22.8571,34.4571685,-5.2187541
gal00204,1.444,20.0,8.448524642444116,0.3,0.36,24.0093,34.290955,-5.218361799999999
gal00205,2.4459999999999997,20.0,8.10936901113784,0.13,0.43,24.5414,34.3970348,-5.2180464
gal00206,1.2890000000000001,20.0,8.37014470494731,0.19,0.63,24.5577,34.228407700000005,-5.2181449
gal00208,2.222,20.0,8.252993806209494,0.22,0.22,26.2326,34.303434499999995,-5.217899299999999
gal00209,1.043,20.0,8.085286686320517,0.22,0.86,25.5014,34.3963023,-5.217911099999999
gal00211,2.745,20.0,7.895519467423525,0.29,0.51,25.928,34.415397999999996,-5.2178926
