,Unnamed: 0,ra_1,dec_1,TYPE,g,r,z,w1,w2,rg_EXP,rg_DEV,fluxg,fluxr,fluxz,fluxw1,fluxw2,shapeexp_e1,shapeexp_e2,shapedev_e1,shapedev_e2,col1,ra_2,dec_2,redshift,weight,mass_stellar,Separation
103652,103676,127.1001202,4.033276669,DEV,20.13012104,18.24628494,17.22949829,16.48981233,17.014158,0,2.7279785,8.870571,50.29051,128.29233,253.55669,156.43604,0,0,0.000651933,0.06501027,207956,127.10012,4.03326,0.44857,1,11.94664,0.060014544
104479,104503,127.4589792,5.796798287,DEV,20.18708788,18.29203022,17.24197061,16.44444854,16.97017211,0,2.2879791,8.417146,48.215637,126.82701,264.37512,162.90378,0,0,-0.053906336,0.13706075,203492,127.45898,5.7968,0.45993,2,12.1491,0.00679308
104518,104542,127.4241242,14.78492875,DEV,20.10047533,18.17185388,17.10373936,16.26997725,16.77181621,0,4.498306,9.116117,53.85902,144.04701,310.46246,195.55707,0,0,-0.12669419,-0.21531917,136447,127.42413,14.78494,0.4699,1,12.16647,0.045329357
104557,104581,127.531093,21.87398033,DEV,20.15918536,18.99006994,18.28753329,18.1764123,18.50252317,0,1.7471753,8.636263,25.349653,48.415752,53.63337,39.718307,0,0,-0.22503604,0.103061475,135870,127.53111,21.87397,0.27142,1,10.9019,0.067904179
104710,104734,127.6341134,10.13620184,DEV,19.34932845,18.26287905,17.3903006,17.20032534,17.15970723,0,3.377328,18.208267,49.527725,110.631744,131.78618,136.80977,0,0,0.09201226,0.28010887,361525,127.63411,10.1362,0.1906,1,10.5389,0.013741717
105351,105375,127.8248362,6.570171707,DEV,20.07618277,18.54913786,17.58720313,16.93177726,17.4100982,0,5.5152454,9.322382,38.04914,92.28237,168.76761,108.63274,0,0,-0.09550794,0.06309795,209931,127.82478,6.57016,0.48322,1,11.63974,0.20527025
106364,106388,128.4254482,6.829247125,DEV,20.18474451,18.3819162,17.25199164,16.46948958,17.34395427,0,5.315776,8.435332,44.384724,125.66182,258.34744,115.456474,0,0,0.05568317,-0.23082817,231102,128.42542,6.82925,0.48659,1,11.82418,0.101263455
106408,106432,128.352764,14.33390459,DEV,19.86434518,18.61896202,17.70737051,17.41764553,18.03423283,0,5.4763374,11.330835,35.679207,82.61365,107.88021,61.137386,0,0,0.2649213,-0.1257468,133673,128.35274,14.334,0.43845,1,11.17749,0.353524424
107705,107729,129.0831108,-0.221389258,DEV,20.17289175,18.33404453,17.29367432,16.5338754,17.10007165,0,4.7028728,8.527924,46.385494,120.92895,243.47246,144.53444,0,0,0.051674698,0.028961936,184169,129.0831,-0.22139,0.46872,2,12.08578,0.038862563
108127,108151,129.2514268,3.495240713,DEV,19.7074514,18.66971928,17.83147217,17.33723346,17.87481444,0,7.7000484,13.092405,34.04962,73.69044,116.17338,70.80668,0,0,0.14307915,-0.11340453,182626,129.25146,3.49517,0.54306,1,11.5065,0.281147186
108139,108163,129.3451882,6.281046867,DEV,19.51018401,17.99364406,17.03169274,16.56890089,16.92786939,0,4.8591294,15.700967,63.466183,153.92987,235.74345,169.37614,0,0,0.14168014,0.14504766,219807,129.34523,6.28101,0.25405,1,11.68041,0.200035665
108187,108211,129.2653929,9.08910251,DEV,20.13880342,18.78220267,17.80100716,17.07556228,17.64875566,0,4.738208,8.799918,30.698626,75.78742,147.83426,87.196236,0,0,0.07788716,0.22255296,354014,129.26541,9.08908,0.55546,1,11.74307,0.101282159
108220,108244,129.3735599,22.60048358,DEV,19.70474494,18.38422053,17.34852958,16.59814275,16.66779943,0,2.3934922,13.125082,44.290623,114.97096,229.47897,215.21881,0,0,0.3292553,0.18808189,125553,129.37358,22.60048,0.21972,1,11.33396,0.067999902
108231,108255,129.2583105,25.27616281,DEV,20.15502379,18.47388167,17.47166458,16.76272224,17.30217287,0,4.484158,8.669429,40.78001,102.64414,197.2019,119.98608,0,0,0.107112214,-0.1477317,136339,129.2583,25.27615,0.45809,1,11.98117,0.057423047
109254,109278,130.0114102,8.631614925,DEV,20.09934576,18.35671691,17.12058206,16.20244756,16.84379922,0,6.030103,9.125606,45.426914,141.8297,330.3855,183.01231,0,0,-0.08020824,-0.030172596,359922,130.01138,8.63163,0.54306,1,12.29759,0.120416479
109685,109709,130.2172606,32.23936263,DEV,20.14648579,18.55327069,17.60945548,17.03849234,17.52154725,0,3.09989,8.737872,37.904583,90.41028,152.96887,98.03499,0,0,0.0840798,0.050234012,118350,130.21727,32.23935,0.43023,1,11.64722,0.053693145
109973,109997,130.3024272,11.62836401,DEV,20.14011852,18.25348449,17.21736911,16.46429212,16.98524294,0,5.544873,8.789266,49.958134,129.73357,259.58713,160.65817,0,0,-0.07026374,-0.23067355,360337,130.30247,11.62833,0.45906,1,12.04545,0.194345264
110386,110410,130.5002992,27.61937531,DEV,19.94675767,18.45667967,17.56312937,17.09942846,17.61261423,0,4.410867,10.502603,41.43126,94.35138,144.62009,90.14763,0,0,-0.018807106,-0.37567797,136272,130.50021,27.6194,0.41732,1,11.55719,0.298112914
110659,110683,130.9226807,10.32989877,DEV,20.17735621,18.27666506,17.25693594,16.44647802,16.98099171,0,2.53708,8.492929,48.90283,125.09087,263.8814,161.28847,0,0,0.05314784,0.05715777,360445,130.92268,10.32989,0.45664,1,12.03012,0.031647448
110798,110822,130.9865541,4.499354413,DEV,19.40334266,18.72948252,17.98650557,17.6102692,17.55235924,0,1.6027781,17.324589,32.226044,63.884834,90.342545,95.29197,0,0,-0.28965166,0.29017276,39718,130.98656,4.49937,0.097,1,10.08787,0.05992913
111589,111613,131.5085456,14.37637468,DEV,19.98044227,18.50159747,17.57302519,16.95734612,17.53409942,0,7.0176096,10.181766,39.752186,93.49533,164.8396,96.908134,0,0,0.040046852,-0.14477892,337319,131.50854,14.3764,0.49273,1,11.5428,0.093249553
111879,111903,131.5830815,3.704225969,DEV,20.03810882,18.41834719,17.31416204,16.87135979,17.23747233,0,4.549601,9.655093,42.92014,118.66843,178.42516,127.35355,0,0,-0.020851428,0.367181,39439,131.5831,3.70419,0.2382,1,11.72017,0.145617895
111916,111940,131.5799901,10.91586301,DEV,20.19525786,18.75844556,17.72548521,17.40676682,17.73872442,0,3.4565785,8.354046,31.377748,81.246735,108.96657,80.26205,0,0,0.10374598,-0.29057285,355468,131.57996,10.91588,0.2432,1,11.16528,0.122597539
111987,112011,131.4150108,20.83912147,DEV,19.13584585,17.97161788,17.14471678,17.55801215,18.06471349,0,6.808949,22.16469,64.76686,138.71176,94.79712,59.4449,0,0,-0.26875657,0.20619711,262315,131.41498,20.83917,0.22005,1,10.72023,0.203094173
112095,112119,131.5104933,2.458423763,DEV,20.06074236,18.9366145,18.06862169,17.87938258,18.26775999,0,5.951254,9.455904,26.62896,59.231308,70.50939,49.305573,0,0,-0.07061787,-0.07186111,36507,131.51047,2.45844,0.63701,1,11.32854,0.102233983
113597,113622,132.3013424,24.68448408,DEV,19.82006052,18.47927271,17.4822532,16.78294883,17.3714468,0,3.6982887,11.802548,40.578026,101.64797,193.56216,112.56964,0,0,-0.1645728,0.2924505,261325,132.30141,24.68453,0.49308,1,12.05165,0.276101803
113916,113941,132.4887452,22.49473576,DEV,20.17946072,18.66364088,17.79283606,17.48855138,18.09805105,0,5.005635,8.476483,34.24078,76.35994,101.060036,57.64738,0,0,0.13433227,-0.10311127,261962,132.48874,22.49477,0.44159,1,11.56692,0.124460575
114129,114154,132.7023967,13.4169341,DEV,19.8411366,18.78151805,17.88852562,17.26878405,17.46152019,0,2.2284784,11.575649,30.717989,69.91812,123.73324,103.60767,0,0,-0.1311263,-0.406441,335941,132.70241,13.41692,0.15051,1,10.7728,0.068943729
114741,114766,133.0981424,10.07200799,DEV,19.5985524,18.63142774,17.93072457,17.74234265,18.07708145,0,2.1097014,14.473682,35.271904,67.25277,79.99502,58.771587,0,0,0.45267832,0.2766408,354062,133.09814,10.07202,0.22197,1,10.71087,0.044042285
115120,115145,133.0599891,1.981259516,DEV,19.66775866,18.57245353,17.90206075,17.92359812,18.45454408,0,1.3669746,13.579899,37.240765,69.05191,67.69565,41.512833,0,0,0.047088973,-0.028371423,35810,133.05997,1.98123,0.19707,1,10.80442,0.126542177
115310,115335,133.3111865,4.395916436,DEV,19.9557528,18.86498429,17.95953132,17.35782311,17.70712989,0,4.5424533,10.41595,28.445023,65.49188,113.99105,82.63196,0,0,0.003378284,0.09330095,39613,133.31123,4.396,0.61183,1,11.32201,0.338989018
115702,115727,133.2506647,26.39940815,DEV,19.86009345,18.05885484,17.0729031,16.36906904,16.85980752,0,2.5641553,11.375294,59.766533,148.19678,283.38208,180.33374,0,0,-0.00872085,-0.24585237,263284,133.25069,26.39938,0.45057,1,12.26592,0.130033593
115721,115746,133.3580425,28.96992375,DEV,19.95136185,18.14830279,17.0905139,16.27873219,16.80609325,0,3.4420283,10.458159,55.04006,145.8124,307.9691,189.4797,0,0,-0.00827046,0.06612178,263237,133.35805,28.96992,0.45484,1,12.07358,0.02723505
116604,116629,133.8002864,3.495648544,DEV,18.76618876,18.74532719,18.60701157,19.10287755,19.61034243,0,4.25553,31.154766,31.759169,36.07409,22.848042,14.317363,0,0,-0.41108602,-0.2895567,39347,133.80025,3.49564,0.12413,1,8.85722,0.134290657
116631,116656,133.7209857,7.070168017,DEV,20.07380935,18.62748618,17.59648764,16.99353482,17.36876739,0,3.7012386,9.342783,35.400185,91.4966,159.43588,112.847786,0,0,0.16024871,-0.41724408,231093,133.72095,7.0701,0.15851,1,10.91351,0.276018423
116712,116737,133.8942227,26.50682573,DEV,19.82214067,18.2962033,17.12613862,17.18745454,17.54499326,0,8.025002,11.779958,48.030674,141.1057,133.35773,95.94066,0,0,-0.19203542,0.06083133,377870,133.89421,26.50684,0.44781,1,11.55505,0.065725368
116820,116845,134.0614799,13.00618045,DEV,20.19965265,18.85282014,17.70114998,16.73995239,17.35042172,0,5.254089,8.320299,28.765501,83.088326,201.38126,114.770775,0,0,0.22341341,0.1757509,350622,134.06151,13.00604,0.57086,1,11.6112,0.516567245
116935,116960,134.0800957,3.350105663,DEV,19.83687866,19.2447926,19.00191702,18.81083832,19.2634514,0,2.5444849,11.621135,20.04855,25.074553,29.899551,19.706951,0,0,-0.15861106,-0.5157649,36151,134.08006,3.35016,0.29126,1,10.1239,0.233880896
116938,116963,133.9696809,3.756583571,DEV,20.18638237,18.31309395,17.34085569,16.6963038,17.25502605,0,3.6051707,8.422617,47.28925,115.786446,209.64209,125.31111,0,0,0.08714755,-0.14512923,36253,133.96971,3.75659,0.42863,1,11.99634,0.107137386
116963,116988,134.0830487,9.548869294,DEV,20.07317416,19.04220051,17.97782055,17.3521062,18.03021129,0,5.053225,9.34825,24.161272,64.39791,114.59285,61.364258,0,0,0.09378795,-0.2693042,328123,134.08304,9.54885,0.57897,1,11.56752,0.076082317
117141,117166,134.0184553,0.772829717,DEV,19.00779414,17.98808374,17.10879042,16.5580189,16.42799745,0,7.0772514,24.93919,63.79204,143.37843,238.11812,268.41144,0,0,0.3861347,0.28786173,25590,134.01849,0.7728,0.2046,1,10.78442,0.164444364
117334,117359,134.1308734,26.41154316,DEV,20.04435898,19.11737449,18.24924202,17.92327146,18.85193724,0,5.792766,9.599672,22.544998,50.153725,67.71602,28.788902,0,0,0.29327402,-0.35973945,377944,134.13094,26.41149,0.56493,1,11.66371,0.28756614
117763,117788,134.4324569,25.12688352,DEV,20.02710504,18.53697199,17.5456709,16.87405173,17.2852625,0,6.0930057,9.753444,38.477886,95.8808,177.98332,121.86949,0,0,0.27618143,-0.20873463,261273,134.43246,25.12688,0.48172,1,11.77031,0.016291329
117777,117802,134.321512,26.82879363,DEV,19.96384134,18.08662551,17.08936412,16.30232584,16.84999623,0,4.888031,10.338641,58.257225,145.96689,301.34894,181.97072,0,0,0.27855995,0.0888656,380606,134.32152,26.82878,0.4453,1,12.23546,0.055387163
117882,117907,134.5253805,14.50403899,DEV,20.06874549,18.13356996,16.95466037,16.00466339,16.59836311,0,3.7406566,9.386459,55.79201,165.24786,396.4009,229.4324,0,0,0.15259464,-0.1234133,360072,134.52539,14.50402,0.51165,1,12.24915,0.075943701
117934,117959,134.3855295,20.24364515,DEV,20.17359839,18.6326648,17.60541965,16.84065427,17.14647438,0,5.156446,8.522375,35.23174,90.74697,183.5432,138.4874,0,0,0.08264369,0.018230215,377784,134.38551,20.24365,0.39681,1,11.82205,0.068163377
118079,118104,134.4165212,16.5835174,DEV,19.74105505,18.88524618,18.31649365,18.75827701,18.9288225,0,3.7317965,12.6934,27.919107,47.141407,31.38262,26.820755,0,0,-0.000254622,0.34032005,333774,134.41646,16.58347,0.19017,1,10.06946,0.271490848
118307,118332,134.5468408,8.866167065,DEV,19.9890405,18.67970673,17.73075355,17.08587071,17.89103117,0,7.2836905,10.101452,33.737843,80.853455,146.4373,69.75696,0,0,-0.008624465,0.054089297,294826,134.54686,8.86617,0.5561,1,11.50418,0.068997868
118393,118418,134.5943509,18.1786775,DEV,19.18549215,18.36784989,17.80737477,18.14630254,18.59140269,0,4.612433,21.174011,44.963493,75.344246,55.141552,36.596447,0,0,0.04751684,-0.1857236,280894,134.59418,18.17886,0.18041,1,10.20843,0.879379163
118671,118696,134.9551197,2.31646914,DEV,20.17875245,19.05654918,18.3204939,18.36318854,18.59907177,0,2.17243,8.482015,23.844067,46.96804,45.156948,36.33886,0,0,0.18307164,0.015188033,36407,134.95509,2.31644,0.27373,1,10.95535,0.149659203
119078,119103,135.0127443,9.920516527,DEV,19.43869214,17.9166227,17.08493357,16.89433215,17.39518403,0,3.4532433,16.769617,68.131966,146.56375,174.68964,110.13526,0,0,0.04410625,-0.09680145,296945,135.01276,9.92051,0.29747,1,11.50289,0.060435611
119089,119114,135.1084777,11.43308379,DEV,19.48241653,18.96662908,18.6368944,19.13988032,19.96536924,0,1.4192078,16.107695,25.902899,35.094757,22.082481,10.324102,0,0,-0.073532,0.0728687,354953,135.10849,11.43308,0.0719,2,9.03192,0.045454899
119704,119729,135.4859037,-0.212471513,DEV,19.69369779,18.48971491,17.57510188,17.0385036,17.32244992,0,5.4034953,13.259309,40.189632,93.31667,152.96729,117.76603,0,0,-0.3253615,-0.7657492,41073,135.4861,-0.21262,0.16588,1,10.90592,0.886074193
119858,119883,135.3779314,17.64603816,DEV,19.83840601,18.61621989,17.75028411,17.43900035,17.62210622,0,3.4415033,11.604798,35.769432,79.41204,105.7791,89.36295,0,0,-0.5674044,-0.029737502,332718,135.37791,17.64602,0.24318,1,10.86621,0.098356636
120342,120367,135.7059895,0.816815598,DEV,20.195227,18.71037224,17.57693924,16.55893412,16.80462674,0,6.0512886,8.354283,32.798283,93.15889,237.91748,189.73581,0,0,0.36271244,0.12315071,25636,135.70602,0.8167,0.52091,1,12.14013,0.430381545
120768,120793,135.9706602,-1.968213384,DEV,19.26329274,17.72568058,16.58296784,16.01680089,16.62062058,0,11.235472,19.709831,81.23212,232.70883,391.9942,224.77695,0,0,-0.08716377,-0.20914431,39151,135.97054,-1.96812,0.53742,1,12.10674,0.547666623
121164,121189,135.8421419,26.79589544,DEV,19.95056118,18.67563656,17.68003649,16.96951452,17.3891367,0,3.2687464,10.465875,33.864555,84.719894,163.00247,110.750404,0,0,-0.20586877,0.06344419,387160,135.84209,26.79587,0.4902,2,11.75031,0.190198373
121672,121698,136.1450812,30.92386098,DEV,19.60369437,18.0183597,17.02234116,16.29765927,16.77721839,0,8.114713,14.405298,62.03776,155.26141,302.64694,194.58647,0,0,-0.05403671,0.12447429,380527,136.1451,30.92387,0.49999,1,11.86002,0.066628512
121764,121790,136.3526412,14.56529754,DEV,20.10495611,18.19278581,16.902951,15.91300299,16.50558379,0,6.6002088,9.078572,52.830616,173.3084,431.3192,249.90013,0,0,-0.00812434,-0.10037104,335995,136.35265,14.5653,0.55417,1,12.39793,0.031873342
122055,122081,136.4181449,11.21503029,DEV,20.03356696,18.91215066,18.09657209,17.79416184,18.10619969,0,2.0774086,9.695567,27.235775,57.72596,76.266754,57.216347,0,0,0.4154731,-0.3082558,354507,136.41815,11.21502,0.17231,1,10.76309,0.041148311
122653,122679,136.598687,5.912585937,DEV,20.0619538,18.19525978,17.14895195,16.31838179,16.82394339,0,4.103158,9.445359,52.710373,138.17174,296.92535,186.39001,0,0,0.20914613,0.34097084,231038,136.59866,5.91255,0.46615,1,12.17956,0.161565208
123673,123699,137.0567679,26.70090097,DEV,18.31146157,18.47472132,18.67034371,18.78324945,18.80599628,0,0.9762792,47.3604,40.748486,34.030045,30.669043,30.033192,0,0,-0.23589335,-0.46367306,444028,137.05688,26.70085,0.07682,1,8.71888,0.404506598
123787,123813,137.0138111,2.012243157,DEV,20.09346561,18.12773929,17.03459836,16.18169163,16.70640877,0,4.292077,9.175162,56.092434,153.51848,336.7622,207.7,0,0,0.08172091,0.14195882,41460,137.01382,2.01222,0.46825,1,12.1215,0.089307624
124227,124255,137.310841,3.034750966,DEV,18.02356617,17.53722857,17.21910748,18.47717478,19.29183673,0,11.136097,61.740982,96.62924,129.52602,40.65651,19.198412,0,0,0.06673953,-0.022435324,36039,137.31081,3.03478,0.13704,1,9.23755,0.152730406
125047,125075,137.7763194,21.78205227,DEV,20.0125275,19.01080051,17.90061427,16.83714657,17.45532596,0,4.666818,9.885281,24.87023,69.14397,184.13713,104.200455,0,0,-0.001356104,0.053084947,406377,137.77629,21.78207,0.73441,1,11.83782,0.117302332
125360,125388,137.9806457,0.298866373,DEV,19.49628966,17.98893539,17.05994836,16.95140424,17.37500482,0,3.735849,15.903186,63.742023,149.97562,165.74419,112.20135,0,0,-0.00088746,0.09791207,41320,137.98061,0.29889,0.30522,1,11.71668,0.154156475
125470,125498,137.9192441,12.69173036,DEV,20.09073599,18.2699549,17.27353955,16.63126306,17.25069342,0,7.1962547,9.198258,49.205997,123.192474,222.58443,125.812164,0,0,-0.18914829,-0.019968214,360399,137.91924,12.69174,0.45267,1,11.86913,0.037526617
125502,125530,137.8705174,17.08130258,DEV,19.88469894,18.00322831,16.96685724,16.32078901,16.86854605,0,6.4928503,11.1204,62.908405,163.4019,296.26776,178.88815,0,0,-0.14211169,0.01825045,360004,137.87056,17.08131,0.4623,1,12.19019,0.148902593
125847,125875,138.1155914,7.059436374,DEV,19.39298843,18.68317294,18.17609712,18.21584367,18.59370573,0,2.318773,17.490597,33.630306,53.64894,51.720478,36.5189,0,0,0.45689893,0.06849733,219754,138.11559,7.05944,0.07701,1,9.53028,0.01392018
126156,126185,138.0195591,9.481252295,DEV,19.19369044,19.28331564,19.31874393,18.54444872,18.96924868,0,2.5032809,21.01473,19.349678,18.728476,38.213825,25.840477,0,0,-0.052422754,-0.54449844,303029,138.01955,9.48131,0.06965,1,8.78088,0.210223513
126355,126384,138.3112148,8.179844001,DEV,20.16418458,18.99407806,18.11283681,17.92867745,19.41016578,0,6.2674766,8.596589,25.256245,56.86765,67.37969,17.216057,0,0,-0.22481573,-0.09017011,292293,138.31133,8.17986,0.23931,1,10.13691,0.414521058
127535,127564,138.7722612,-0.964806664,DEV,20.01224283,18.68126682,17.73976978,17.16181415,17.73414926,0,5.373462,9.887873,33.6894,80.18481,136.54454,80.600975,0,0,0.02976092,0.07789783,21304,138.77222,-0.96478,0.50113,1,11.5375,0.176614979
127602,127631,138.8340882,1.738989033,DEV,18.36322844,17.51160621,16.94868028,17.24417286,17.62329355,0,6.44386,45.15529,98.93672,166.16054,126.57002,89.26528,0,0,0.007148783,-0.104947776,34878,138.83409,1.73899,0.17845,1,10.82538,0.007496009
128081,128110,138.9008431,15.18016156,DEV,20.14473305,19.04150939,18.14673594,17.34163126,18.01336221,0,3.4942882,8.751989,24.176657,55.119545,115.703766,62.32397,0,0,0.06453041,0.03660059,336055,138.90083,15.18016,0.64093,1,11.55299,0.045786845
128323,128352,139.2542031,12.81804735,DEV,20.13859446,18.77097715,17.91694749,17.04440498,17.26593347,0,8.654275,8.801612,31.017668,68.11159,152.1381,124.058525,0,0,-0.45816672,0.47979543,355662,139.25423,12.81807,0.39394,1,11.1113,0.124776498
128807,128836,139.2489293,9.890481167,DEV,20.19903444,19.303921,18.39160018,16.53153996,15.75439571,0,1.6272838,8.325038,18.985918,43.990604,243.99673,499.16223,0,0,-0.10300343,-0.021257343,294907,139.24893,9.89044,0.49422,1,11.39288,0.148218378
129661,129690,139.824064,16.41691893,DEV,20.03514504,18.21932117,17.20019435,16.45394835,16.96301908,0,5.904105,9.681485,51.555088,131.80208,262.07202,163.98056,0,0,-0.022457317,0.24012946,360081,139.82411,16.41694,0.46234,1,12.02403,0.176018918
129691,129720,139.6909185,24.10127477,DEV,18.61587917,18.76483321,19.06636396,19.4213854,19.48907935,0,1.0448635,35.78066,31.193687,23.629494,17.039068,16.00915,0,0,-0.08460792,0.29444534,404133,139.69092,24.10127,0.07053,1,8.5133,0.017854799
129792,129821,139.8100774,0.138418393,DEV,19.70429015,19.7891361,20.23309775,20.1999119,20.19126663,0,1.294701,13.130581,12.143547,8.067907,8.318313,8.384812,0,0,-0.12077326,0.16347863,31998,139.8101,0.13841,0.06927,1,8.78857,0.086952503
129952,129981,139.9956352,21.56538265,DEV,20.16136928,18.96546095,18.0327942,17.24519161,17.81541009,0,4.2969537,8.618909,25.930782,61.21845,126.45132,74.7887,0,0,0.062897794,-0.11906975,405978,139.99564,21.56537,0.57518,1,11.58998,0.048298937
130129,130158,139.8805642,20.21871624,DEV,19.85549786,18.40839745,17.58823149,17.97491893,18.39975387,0,6.5839305,11.423544,43.31527,92.19501,64.570244,43.66148,0,0,0.002198277,0.21172425,407366,139.88058,20.21869,0.41639,1,11.26653,0.108534693
131230,131259,140.5381511,14.47467484,DEV,20.19205799,18.27056995,17.18966149,16.30567652,16.78323165,0,2.8343015,8.378703,49.17813,133.08693,300.42038,193.51175,0,0,0.23568933,-0.073905416,360127,140.53815,14.47464,0.47827,1,12.20693,0.125488061
131232,131261,140.444619,15.64651679,DEV,20.04564351,18.91581038,17.88042278,17.36218227,18.04776769,0,5.3368087,9.588322,27.144125,70.44187,113.5343,60.379974,0,0,-0.029335218,0.067468576,336077,140.44458,15.64659,0.69095,1,11.51846,0.296251118
131324,131353,140.5629718,3.602394713,DEV,20.15708673,18.86122356,17.97570189,17.45648325,17.98219312,0,4.957573,8.652972,28.54372,64.5237,104.08945,64.139084,0,0,0.118450135,-0.059565723,207389,140.5629,3.60232,0.48227,1,11.38965,0.372558838
131929,131958,140.703433,25.02216465,DEV,20.15801403,18.32048093,17.32947807,16.66338452,17.17740823,0,3.4071453,8.645585,46.9686,117.00617,216.09573,134.59741,0,0,-0.15004577,-0.014357951,444341,140.70345,25.02217,0.438,1,11.90063,0.058587511
132586,132616,140.9303229,20.2144891,DEV,19.96340277,18.62836625,17.98849311,17.65643727,17.90801884,0,4.0363145,10.342818,35.371502,63.767994,86.5815,68.67402,0,0,0.27123123,0.056590296,407179,140.93031,20.21447,0.42206,1,11.53903,0.08143091
133034,133064,141.275692,14.25107858,DEV,20.19461354,18.34172278,17.30744734,16.51369372,17.09238921,0,3.680943,8.359005,46.058617,119.4046,248.04045,145.56076,0,0,-0.21364756,-0.26858383,360119,141.2757,14.25106,0.47017,1,12.08209,0.072545739
134068,134099,141.7036652,5.408232679,DEV,20.15847642,18.47428079,17.42927259,16.71028296,17.21032926,0,3.49691,8.641904,40.765022,106.731094,206.96019,130.57748,0,0,-0.04893695,-0.13709709,207971,141.70364,5.40823,0.45967,2,12.24382,0.09084703
134098,134129,141.6247642,10.85476586,DEV,20.01223823,18.26941045,17.31061872,16.94627149,17.66125359,0,4.9936976,9.887915,49.23068,119.056335,166.52959,86.19827,0,0,0.1644217,-0.03990527,359439,141.62479,10.85463,0.40096,1,11.40794,0.497542038
134427,134458,141.7478879,22.24267197,DEV,18.85055556,17.87591995,16.97805061,16.48777901,17.00438031,0,10.998832,28.825562,70.73462,161.72597,254.03198,157.8512,0,0,-0.027628476,0.26379085,406002,141.74774,22.24258,0.52879,1,11.5207,0.593690146
135028,135059,142.1197319,19.98438527,DEV,20.19377749,19.16086822,18.39589847,17.98262547,18.32566087,0,2.5734293,8.365444,21.659714,43.816795,64.11355,46.745052,0,0,0.1302348,0.06639906,409717,142.11972,19.98438,0.19265,1,10.6312,0.044477093
135216,135247,142.1730899,28.00496388,DEV,19.81023956,17.92465145,16.82083293,15.98450769,16.5333103,0,6.220997,11.909792,67.630005,186.92476,403.82846,243.59921,0,0,-0.05962099,-0.09976686,443976,142.17308,28.00496,0.49779,1,12.20759,0.034420656
136219,136250,142.910347,14.3637731,DEV,19.00791273,17.84612847,17.01060063,16.94380947,17.06996029,0,7.1220527,24.936466,72.70238,156.94943,166.90764,148.599,0,0,-0.45875967,0.48096988,356678,142.91037,14.3638,0.18072,1,10.90402,0.125631575
136700,136731,143.1020773,31.50553982,DEV,19.39910474,18.24122506,17.45483789,17.24814411,17.49812441,0,2.1451979,17.392344,50.525425,104.24731,126.10792,100.1729,0,0,0.22368748,-0.019609423,385905,143.10205,31.50551,0.27165,1,11.11995,0.136256124
137233,137264,143.397537,22.98738038,DEV,20.12579384,18.95745144,18.13331194,17.69520799,17.98150846,0,5.7076774,8.905995,26.122782,55.80527,83.5443,64.17954,0,0,0.07593391,0.6352833,405065,143.39751,22.98737,0.33092,1,10.84273,0.096902492
137263,137294,143.356841,28.32147042,DEV,20.0047761,18.55724471,17.76535712,17.51205733,17.94577293,0,4.4354544,9.956107,37.766098,78.3172,98.89562,66.32707,0,0,0.16299963,-0.013021203,390726,143.35683,28.32152,0.37035,1,11.1522,0.181857884
137378,137409,143.4035657,1.711511234,DEV,20.02342029,18.64572788,17.56720372,16.85022194,16.98245364,0,5.1842837,9.786601,34.810387,93.99798,181.93289,161.07144,0,0,-0.6015718,0.20024072,181557,143.40353,1.7115,0.21339,1,11.11283,0.134774527
137969,138000,143.6475486,15.12613906,DEV,19.93204397,18.73569786,17.76013279,16.97397373,17.06687868,0,2.6337652,10.645901,32.04209,78.694954,162.33438,149.02136,0,0,-0.42516586,-0.029925836,339837,143.64754,15.1261,0.20243,1,10.89273,0.143741271
138465,138496,143.9431946,6.406406115,DEV,20.18306058,18.36631773,17.3826847,16.6603217,17.24547975,0,3.193139,8.448425,45.02699,111.4105,216.70619,126.41776,0,0,-0.1541906,0.3756888,231064,143.94322,6.40642,0.45684,1,12.03967,0.10372889
138505,138536,143.8863495,14.76897863,DEV,20.0758495,18.75171084,17.76719016,17.17372597,17.31037962,0,3.1254005,9.325244,31.572987,78.18509,135.05467,119.08256,0,0,0.16553846,0.5550496,339503,143.88635,14.76897,0.21294,1,11.03317,0.031093206
138885,138916,144.0850683,7.249710214,DEV,19.88090726,19.35156527,18.07667546,18.0023792,18.23497464,0,1.5770483,11.159304,18.170794,58.793568,62.957623,50.81713,0,0,0.10651683,0.009008906,276476,144.08516,7.24975,0.12523,1,9.6638,0.357456907
139701,139732,144.4971935,27.62632457,DEV,19.96971189,18.10699603,17.17092427,16.53300634,17.03312987,0,4.8805203,10.282891,57.174397,135.40363,243.66742,153.72626,0,0,0.11744892,0.095175244,391304,144.49716,27.62635,0.41288,1,11.90486,0.140792824
139743,139774,144.447359,33.40326631,DEV,20.11621452,18.23128142,17.20586724,16.42721855,16.94893296,0,2.1088223,8.98492,50.990284,131.11522,268.60406,166.12187,0,0,0.105697826,0.033979513,443970,144.44736,33.40327,0.46211,1,12.03352,0.013604838
140881,140912,145.1358471,-0.976195446,DEV,19.97947944,18.92869318,18.04174485,17.77943346,18.36473098,0,4.3807564,10.190799,26.82395,60.715847,77.30839,45.092842,0,0,-0.09081008,0.039566636,21409,145.13586,-0.97617,0.57253,1,11.44689,0.102695061
