,Unnamed: 0,ra_1,dec_1,TYPE,g,r,z,w1,w2,rg_EXP,rg_DEV,fluxg,fluxr,fluxz,fluxw1,fluxw2,shapeexp_e1,shapeexp_e2,shapedev_e1,shapedev_e2,col1,ra_2,dec_2,redshift,weight,mass_stellar,Separation
7117,7119,2.955408372,16.22830789,DEV,20.17461165,19.17520262,18.2888347,17.5604651,18.29206476,0,4.574046,8.514425,21.375631,48.357754,94.58319,48.214104,0,0,0.019822324,-0.009756837,750619,2.95543,16.22829,0.66237,1,11.48116,0.098683555
7420,7422,3.194269514,-7.600863848,DEV,20.15836799,18.90475147,17.74489391,16.885251,17.47153732,0,7.954165,8.642767,27.422018,79.80727,176.15688,102.65617,0,0,-0.003949981,0.07357603,827455,3.1943,-7.60095,0.65236,1,12.37347,0.328670896
7927,7930,3.314991279,-5.777822405,DEV,20.02014411,18.2318361,17.29642241,16.67824682,17.14641456,0,4.891882,9.816176,50.96424,120.62325,213.15782,138.49503,0,0,0.13046558,0.020433174,823558,3.315,-5.77785,0.39654,1,12.17885,0.1041365
9256,9259,3.895614892,-7.433782594,DEV,19.69051601,17.8557906,16.81542408,16.07174623,16.54385216,0,10.247333,13.298223,72.05826,187.85829,372.65033,241.24545,0,0,0.46301633,-0.037166916,830522,3.89561,-7.43368,0.45981,1,12.2742,0.369751427
9364,9367,3.946271074,24.61748535,DEV,19.8456238,18.61977131,17.82722533,17.53731353,17.81760412,0,3.9565022,11.527907,35.652622,73.97924,96.62168,74.63772,0,0,0.5444559,-0.10106427,768427,3.9463,24.61742,0.27986,1,10.93489,0.25360112
10188,10191,4.436213423,26.07350327,DEV,20.05207201,18.6475187,17.58642687,16.88881672,17.10926184,0,3.4299562,9.531718,34.753017,92.34837,175.5793,143.3162,0,0,-0.11157001,-0.26164386,760761,4.43617,26.07346,0.21664,1,11.36277,0.209707228
10412,10415,4.570983318,16.29425591,DEV,20.14992988,18.25592312,16.97319584,15.99940256,16.53344041,0,6.8144774,8.710198,49.84605,162.45073,398.3263,243.57002,0,0,-0.26225156,-0.12812601,784968,4.57107,16.29433,0.54939,1,12.281,0.401057162
10958,10962,4.859531771,30.42319057,DEV,20.19758344,18.72290328,17.7825001,17.18408123,17.57262489,0,3.1765413,8.336171,32.421917,77.09034,133.7727,93.52981,0,0,-0.5332533,0.55507076,811952,4.85954,30.42319,0.23991,1,11.18311,0.025627662
11348,11352,4.992858406,20.03051639,DEV,20.18594653,18.76639298,17.72522577,17.18323434,17.69505035,0,2.5927515,8.425999,31.148907,81.26615,133.87709,83.55643,0,0,0.05855556,0.104336925,790688,4.9929,20.03042,0.15205,1,10.49252,0.37443357
11414,11418,4.907321959,13.2129686,DEV,20.1391394,18.56396689,17.49411786,16.69006171,17.17503306,0,5.8562407,8.797195,37.532997,100.543236,210.85083,134.89218,0,0,0.16297972,0.17704578,776387,4.90735,13.21297,0.51411,1,11.69291,0.098405346
11693,11697,5.220170194,0.770535869,DEV,20.13148785,18.66206894,17.71429449,17.25300786,17.74761693,0,5.7439423,8.859411,34.29039,82.08848,125.54426,79.60736,0,0,0.14379822,0.001099091,621343,5.22015,0.77051,0.4867,1,11.75502,0.118139792
11802,11806,5.300038001,8.798052047,DEV,20.1790981,18.38746805,17.35076178,16.70805923,17.31504591,0,7.640691,8.479315,44.158344,114.73483,207.3845,118.57186,0,0,-0.12827352,0.39228436,676095,5.29991,8.798,0.45436,2,11.78668,0.492421669
13135,13139,5.743050102,30.66798354,DEV,20.10604427,18.91817442,18.15672361,17.87873698,18.4243233,0,4.919332,9.069478,27.085087,54.614826,70.55133,42.684547,0,0,0.16260403,-0.36462435,815455,5.743,30.66804,0.37349,1,11.09992,0.25570232
13887,13891,5.908200002,12.45627436,DEV,20.03892257,18.34047499,17.302789,16.56927609,17.1511205,0,4.169969,9.64786,46.11158,119.91801,235.662,137.89604,0,0,0.18712597,0.08018466,775347,5.9082,12.45629,0.47856,1,11.91629,0.056313262
14259,14263,6.153529442,8.107071678,DEV,20.15075234,19.0632981,18.19294834,17.61191344,17.84194002,0,3.7461538,8.703603,23.696312,52.82271,90.20583,72.98338,0,0,0.39998516,0.5494701,641428,6.15353,8.10706,0.15889,1,10.67048,0.042089603
14802,14808,6.273225942,5.288906718,DEV,20.16716106,19.25328502,18.34270906,17.55676637,18.13874864,0,5.782557,8.573054,19.892345,46.016796,94.90595,55.52653,0,0,0.14663836,0.047974758,664463,6.27323,5.28896,0.71457,1,11.31082,0.19236481
15035,15041,6.453142609,8.852564252,DEV,20.09795342,19.1060874,18.42701703,18.27999302,18.2345224,0,8.226471,9.137316,22.780594,42.578777,48.753162,50.838303,0,0,-0.5115949,0.56452405,676116,6.4529,8.85246,0.23434,1,10.40686,0.941064646
15046,15052,6.364333781,10.1852765,DEV,19.95789489,18.31841487,17.34603768,16.71209551,17.18195282,0,3.2652805,10.39542,47.058064,115.23514,206.61497,134.0352,0,0,-0.10038021,0.07749548,746184,6.36433,10.18527,0.46335,1,11.99472,0.026978258
15227,15233,6.666061727,13.09745471,DEV,20.17286528,18.66348691,17.68314343,16.93028157,17.37307971,0,4.970879,8.5281315,34.245636,84.477806,169.00026,112.40047,0,0,-0.09664151,0.27063432,782221,6.6661,13.09749,0.48595,1,11.7115,0.184804472
15454,15460,6.750347386,-4.223250551,DEV,20.04515248,18.2375389,17.10317986,16.46262971,17.13046835,0,5.8473263,9.592659,50.697254,144.12126,259.9849,140.54411,0,0,-0.19151023,0.04144439,821365,6.75035,-4.22324,0.495,2,12.40257,0.03912591
17104,17110,7.27271902,-4.195510114,DEV,20.03837289,18.75018228,17.87853951,17.53248935,17.98261487,0,3.3264506,9.652745,31.617468,70.56416,97.05195,64.114174,0,0,0.5533265,0.41902965,821377,7.27272,-4.19556,0.2385,1,11.05715,0.1796223
17273,17279,7.406567625,25.26861168,DEV,19.94870694,18.06147556,17.0418947,16.29416818,16.79776654,0,3.9747407,10.483764,59.622444,152.49026,303.62164,190.93845,0,0,-0.0841306,0.060754508,793454,7.40658,25.26861,0.46361,3,12.04388,0.040738094
17290,17296,7.334959271,26.27773579,DEV,18.63520749,18.68552875,18.58401591,18.80456287,19.03568705,0,1.772166,35.149326,33.557415,36.84628,30.072868,24.306654,0,0,0.18736508,-0.18058594,797724,7.33495,26.27775,0.09012,1,8.97306,0.059277104
17758,17764,7.557508868,-5.560065714,DEV,19.65669251,20.00828115,19.95625891,20.7183217,20.35393931,0,0.5977761,13.719017,9.924018,10.411096,5.160257,7.218123,0,0,-0.34323663,0.20282413,820673,7.5575,-5.56008,0.0962,1,9.72,0.060453193
18258,18264,7.807329331,-3.31957376,DEV,19.85476048,18.6228981,17.56061548,17.02542041,17.68735326,0,5.616923,11.431305,35.550095,94.57009,154.8217,84.15089,0,0,-0.011631365,-0.10788325,699144,7.8073,-3.31959,0.5403,1,11.849,0.120540487
18321,18327,7.844560729,2.020588475,DEV,20.0782769,18.42864962,17.48243731,16.85578663,17.30290768,0,2.3361893,9.304419,42.5148,101.63074,181.00282,119.9049,0,0,0.02754342,-0.09811767,651934,7.84458,2.02057,0.43522,1,11.75791,0.096077151
19388,19394,8.413393605,2.722540337,DEV,19.35921853,17.54938891,16.51360355,15.76482678,16.35180287,0,9.006649,18.04316,95.553024,248.06105,494.38956,287.92465,0,0,0.1468853,-0.03193813,649390,8.41337,2.72254,0.46969,1,12.34554,0.084889281
19452,19458,8.285445638,5.367909519,DEV,19.98525569,19.00091296,18.37714766,18.31277922,18.60253005,0,4.1841187,10.136726,25.097752,44.58009,47.30296,36.223297,0,0,0.06844752,-0.46510178,664489,8.28544,5.36794,0.26693,1,10.91738,0.111578049
20486,20492,8.91054985,1.629699775,DEV,19.33517864,18.46518983,17.82087838,18.57049989,19.25956397,0,2.6273184,18.447119,41.107784,74.41297,37.307835,19.777637,0,0,-0.01802681,-0.039152488,651129,8.91058,1.62967,0.07906,1,9.39538,0.152516364
20896,20902,8.982500271,11.91980514,DEV,19.7091432,18.21302253,17.30740204,17.05301305,17.5435783,0,4.501543,13.072021,51.85504,119.409584,150.93668,96.06577,0,0,-0.116120316,0.013115549,774910,8.98253,11.91969,0.38754,1,11.40944,0.427529356
21177,21183,9.036378681,4.081759022,DEV,20.19733679,18.36141395,17.33350224,16.60557474,17.20508185,0,3.8359096,8.338065,45.230816,116.5733,227.91353,131.2101,0,0,-0.11134311,-0.10745098,649538,9.03638,4.08175,0.46047,1,12.06065,0.032823166
22105,22111,9.601668856,22.56275066,DEV,19.48493404,19.58115965,19.54547279,20.22500417,21.36527847,0,4.2210355,16.070389,14.707408,15.198855,8.128274,2.8437316,0,0,0.29706466,0.16493419,791956,9.60162,22.56259,0.10242,1,9.18641,0.600743063
23260,23266,10.1515333,17.04519935,DEV,19.51416576,19.69770549,19.78528318,19.913476,19.677031,0,0.5765259,15.643492,13.210456,12.186717,10.82953,13.464418,0,0,-0.56206894,0.5250888,783699,10.15157,17.04523,0.09118,1,8.73701,0.167735882
23547,23553,10.24266231,13.57091649,DEV,20.18569084,18.63694869,17.72541792,16.94640212,17.52775849,0,6.1022587,8.427983,35.093002,81.25177,166.50955,97.47575,0,0,-0.2013709,-0.149578,776914,10.24267,13.57089,0.47136,1,11.74102,0.099077966
23774,23780,10.23770306,27.46322956,DEV,20.1945635,18.34880401,17.35985485,16.57169062,17.11849914,0,2.852857,8.35939,45.759197,113.77794,235.1385,142.10205,0,0,-0.09511123,0.038997035,798558,10.23769,27.46324,0.44381,1,12.08092,0.056155876
26536,26542,11.50337524,25.29174512,DEV,19.71108019,19.78130192,19.77654205,20.56650761,20.15656763,0,3.3971627,13.04872,12.231486,12.285227,5.934675,8.65711,0,0,-0.4661553,0.5463718,760029,11.50328,25.29174,0.11466,1,9.06461,0.310557
26676,26682,11.66102851,29.04372155,DEV,20.07237696,18.24469719,17.05796655,16.10543028,16.58451537,0,5.4900374,9.355117,50.364105,150.24962,361.26666,232.37738,0,0,0.010190452,-0.15623325,810077,11.66108,29.04371,0.53208,1,12.05074,0.16730457
27323,27329,11.94758967,1.49410982,DEV,19.45736841,17.76984718,16.81875886,16.39301689,16.89062912,0,6.3189235,16.483622,77.99399,187.28218,277.2,175.28645,0,0,0.21162708,-0.07625831,651178,11.94759,1.49413,0.42756,2,11.79286,0.072657432
27979,27985,12.19941603,3.259195675,DEV,20.06176296,18.20565775,17.21798173,16.54411383,17.09099269,0,2.8439806,9.44702,52.20798,129.66039,241.18732,145.74811,0,0,-0.11836352,-0.052875556,654542,12.19945,3.25918,0.42187,2,11.89584,0.134503472
28297,28303,12.40024826,30.13376781,DEV,20.17557657,18.29995316,17.31901117,16.55384118,17.04879533,0,3.4984212,8.506862,47.865074,118.13961,239.03612,151.52415,0,0,0.07518016,0.019155577,799827,12.40026,30.13372,0.44488,1,12.08746,0.175942246
28891,28898,12.68348502,27.92203223,DEV,20.0284147,18.16765443,17.13180673,16.30921395,16.90441618,0,6.130541,9.741686,54.06774,140.37097,299.44318,173.07468,0,0,0.16139545,0.14080982,772660,12.68353,27.92208,0.46759,2,11.96356,0.223711335
28964,28971,12.52818705,-2.484991326,DEV,19.96569825,18.75933089,17.86399974,17.30474645,17.51074719,0,3.5217965,10.320974,31.352173,71.51549,119.702,99.01503,0,0,0.4532108,0.2048038,690570,12.52818,-2.48505,0.2706,1,10.45757,0.212745052
